qno,gender_SD,gender_D,gender_A,gender_SA,race_SD,race_D,race_A,race_SA,religion_SD,religion_D,religion_A,religion_SA,class_SD,class_D,class_A,class_SA
1,-10,-7,7,10,0,0,0,0,0,0,0,0,0,0,0,0
2,-10,-7,7,10,0,0,0,0,0,0,0,0,0,0,0,0
3,-10,-7,7,10,0,0,0,0,0,0,0,0,0,0,0,0
4,7,4,-4,-7,0,0,0,0,0,0,0,0,0,0,0,0
5,7,4,-4,-7,0,0,0,0,0,0,0,0,0,0,0,0
6,-10,-7,7,10,0,0,0,0,0,0,0,0,0,0,0,0
7,-10,-7,7,10,0,0,0,0,0,0,0,0,0,0,0,0
8,-10,-7,7,10,0,0,0,0,0,0,0,0,0,0,0,0
9,7,4,-4,-7,0,0,0,0,0,0,0,0,0,0,0,0
10,7,4,-4,-7,0,0,0,0,0,0,0,0,0,0,0,0
11,7,4,-4,-7,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,-10,-7,7,10,0,0,0,0,0,0,0,0
13,0,0,0,0,7,4,-4,-7,0,0,0,0,0,0,0,0
14,0,0,0,0,-10,-7,7,10,0,0,0,0,0,0,0,0
15,0,0,0,0,-10,-7,7,10,0,0,0,0,0,0,0,0
16,0,0,0,0,7,4,-4,-7,0,0,0,0,0,0,0,0
17,0,0,0,0,-10,-7,7,10,0,0,0,0,0,0,0,0
18,0,0,0,0,-7,-4,4,7,0,0,0,0,0,0,0,0
19,0,0,0,0,-10,-7,7,10,0,0,0,0,0,0,0,0
20,0,0,0,0,7,4,-4,-7,0,0,0,0,0,0,0,0
21,0,0,0,0,7,4,-4,-7,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,-10,-7,7,10,0,0,0,0
23,0,0,0,0,0,0,0,0,7,4,-4,-7,0,0,0,0
24,0,0,0,0,0,0,0,0,-10,-7,7,10,0,0,0,0
25,0,0,0,0,0,0,0,0,-10,-7,7,10,0,0,0,0
26,0,0,0,0,0,0,0,0,7,4,-4,-7,0,0,0,0
27,0,0,0,0,0,0,0,0,-10,-7,7,10,0,0,0,0
28,0,0,0,0,0,0,0,0,-10,-7,7,10,0,0,0,0
29,0,0,0,0,0,0,0,0,-10,-7,7,10,0,0,0,0
30,0,0,0,0,0,0,0,0,7,4,-4,-7,0,0,0,0
31,0,0,0,0,0,0,0,0,7,4,-4,-7,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,-7,-4,4,7
33,0,0,0,0,0,0,0,0,0,0,0,0,7,4,-4,-7
34,0,0,0,0,0,0,0,0,0,0,0,0,-7,-4,4,7
35,0,0,0,0,0,0,0,0,0,0,0,0,-7,-4,4,7
36,0,0,0,0,0,0,0,0,0,0,0,0,7,4,-4,-7
37,0,0,0,0,0,0,0,0,0,0,0,0,-10,-7,7,10
38,0,0,0,0,0,0,0,0,0,0,0,0,-10,-7,7,10
39,0,0,0,0,0,0,0,0,0,0,0,0,-10,-7,7,10
40,0,0,0,0,0,0,0,0,0,0,0,0,-10,-7,7,10
41,0,0,0,0,0,0,0,0,0,0,0,0,-10,-7,7,10
